fdcId,portion,g_weight
172125,3 oz,85.05
172126,3 oz,85.05
172127,3 oz,85.05
172128,3 oz,85.05
172129,3 oz,85.05
172130,3 oz,85.05
172131,3 oz,85.05
172132,3 oz,85.05
172133,3 oz,85.05
172134,3 oz,85.05
172135,3 oz,85.05
172136,3 oz,85.05
172137,3 oz,85.05
172138,3 oz,85.05
172139,3 oz,85.05
172140,3 oz,85.05
172141,3 oz,85.05
172142,3 oz,85.05
172143,3 oz,85.05
172144,3 oz,85.05
172146,3 oz,85.05
172147,3 oz,85.05
172148,3 oz,85.05
172149,3 oz,85.05
172150,3 oz,85.05
172151,3 oz,85.05
172152,3 oz,85.05
172153,3 oz,85.05
172154,3 oz,85.05
172155,3 oz,85.05
172156,3 oz,85.05
172157,3 oz,85.05
172158,3 oz,85.05
172159,3 oz,85.05
172160,3 oz,85.05
172161,3 oz,85.05
172162,3 oz,85.05
172163,3 oz,85.05
172164,3 oz,85.05
172165,3 oz,85.05
172166,3 oz,85.05
172167,3 oz,85.05
172168,3 oz,85.05
172169,3 oz,85.05
172170,3 oz,85.05
172171,3 oz,85.05
172172,3 oz,85.05
172173,3 oz,85.05
172174,3 oz,85.05
173046,3 oz,85.05
173047,3 oz,85.05
173048,3 oz,85.05
173049,3 oz,85.05
173050,3 oz,85.05
173051,3 oz,85.05
173052,3 oz,85.05
173053,3 oz,85.05
173054,3 oz,85.05
173055,3 oz,85.05
173056,3 oz,85.05
173057,3 oz,85.05
173058,3 oz,85.05
173059,3 oz,85.05
173060,3 oz,85.05
173061,3 oz,85.05
173062,3 oz,85.05
173063,3 oz,85.05
173064,3 oz,85.05
173065,3 oz,85.05
173066,3 oz,85.05
173067,3 oz,85.05
173068,3 oz,85.05
173069,3 oz,85.05
173070,3 oz,85.05
173071,3 oz,85.05
173072,3 oz,85.05
173073,3 oz,85.05
173074,3 oz,85.05
173075,3 oz,85.05
173076,3 oz,85.05
173077,3 oz,85.05
173078,3 oz,85.05
173079,3 oz,85.05
173080,3 oz,85.05
173081,3 oz,85.05
173082,1 tbsp,12.8
173083,1 tbsp,12.8
173084,3 oz,85.05
173085,3 oz,85.05
173086,3 oz,85.05
